ABC000000087;2021-07-30;2382,64;2460,254;2325,291;2460,254;0;2049
ABC000000087;2021-07-29;2298,433;2396,974;2274,443;2380,877;0;1977
ABC000000087;2021-07-28;2299,321;2336,927;2258,788;2297,601;0;1977
ABC000000087;2021-07-27;2233,109;2315,353;2158,67;2291,89;0;1920
ABC000000087;2021-07-26;2193,179;2423,388;2182,832;2234,293;0;1886
ABC000000087;2021-07-23;2026,568;2128,821;2005,439;2128,821;0;1743
ABC000000087;2021-07-22;1996,171;2037,196;1959,362;2026,485;0;1717
ABC000000087;2021-07-21;1789,805;2009,406;1764,297;1996,364;0;1539
ABC000000087;2021-07-20;1822,473;1834,428;1727,86;1788,231;0;1567
ABC000000087;2021-07-19;1897,625;1916,73;1812,287;1825,016;0;1632
ABC000000087;2021-07-16;1917,663;1960,084;1859,947;1883,483;0;1649
ABC000000087;2021-07-15;1997,601;2038,46;1890,491;1910,755;0;1718
ABC000000087;2021-07-14;1942,664;2015,897;1875,506;1995,154;0;1671
ABC000000087;2021-07-13;2038,385;2039,878;1926,007;1937,462;0;1753
ABC000000087;2021-07-12;2141,161;2170,131;2013,105;2037,349;0;1841
ABC000000087;2021-07-09;2121,559;2184,811;2057,093;2153,79;0;1825
ABC000000087;2021-07-08;2315,79;2322,777;2094,858;2121,961;0;1992
ABC000000087;2021-07-07;2325,237;2397,447;2303,519;2318,849;0;2000
ABC000000087;2021-07-06;2202,065;2345,137;2202,065;2318,865;0;1894
ABC000000087;2021-07-05;2324,948;2324,948;2167,482;2209,496;0;1999
ABC000000087;2021-07-02;2112,825;2158,077;2025,641;2153,806;0;1817
ABC000000087;2021-07-01;2276,696;2276,696;2084,895;2118,61;0;1958
ABC000000087;2021-06-30;2164,015;2281,28;2098,894;2277,166;0;1861
ABC000000087;2021-06-29;2084,111;2239,498;2084,111;2162,321;0;1792
ABC000000087;2021-06-28;1979,734;2139,161;1966,417;2081,999;0;1703
ABC000000087;2021-06-25;1991,854;2019,191;1806,99;1824,662;0;1713
ABC000000087;2021-06-24;1971,412;2031,04;1892,513;1988,741;0;1695
ABC000000087;2021-06-23;1879,889;2040,229;1841,242;1972,594;0;1617
ABC000000087;2021-06-22;1895,141;1991,267;1730,198;1873,175;0;1630
ABC000000087;2021-06-21;2246,614;2254,553;1879,249;1896,846;0;1932
ABC000000087;2021-06-18;2373,813;2377,037;2152,71;2228,232;0;2041
ABC000000087;2021-06-17;2367,639;2457,522;2317,648;2376,074;0;2036
ABC000000087;2021-06-16;2549,843;2554,242;2356,912;2363,414;0;2193
ABC000000087;2021-06-15;2579,118;2631,454;2521,459;2553,454;0;2218
ABC000000087;2021-06-14;2511,863;2596,159;2474,987;2577,427;0;2160
ABC000000087;2021-06-11;2473,794;2490,099;2334,38;2354,666;0;2127
